Image Path,Label,Image Size
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217607v0.jpeg391227201198.png,Corrosionstain,201x198
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217939v1.jpeg93351912388.png,Corrosionstain,123x88
BiNet_Dataset/train/Corrosionstain/VA0284201706271381.jpg1081450210165.png,Corrosionstain,210x165
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217774v0.jpeg819979272193.png,Corrosionstain,272x193
BiNet_Dataset/train/Corrosionstain/VA_3.0_1.0_1.0_1.0_3.0_3217721v6.jpeg38257411351.png,Corrosionstain,113x51
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217755v0.jpeg108987121115.png,Corrosionstain,121x115
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3218005v0.jpeg89257486935.png,Corrosionstain,486x935
BiNet_Dataset/train/Corrosionstain/VA0235201710121441.jpg895481765286.png,Corrosionstain,765x286
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.42_3217987v1.jpeg197220194368.png,Corrosionstain,194x368
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217674v3.jpeg147710288383.png,Corrosionstain,83x83
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217814v0.jpeg105754138207.png,Corrosionstain,138x207
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217671v1.jpeg113113171427.png,Corrosionstain,171x427
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217920v0.jpeg5653678175.png,Corrosionstain,81x75
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217937v0.jpeg9854317978.png,Corrosionstain,79x78
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3218012v0.jpeg9686426550.png,Corrosionstain,65x50
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217667v0.jpeg40042114369.png,Corrosionstain,143x69
BiNet_Dataset/train/Corrosionstain/VA_3.0_1.0_0.8_1.0_2.4_3217864v0.jpeg62833592146.png,Corrosionstain,92x146
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217938v0.jpeg1270651159130.png,Corrosionstain,159x130
BiNet_Dataset/train/Corrosionstain/MS0208201710281365.jpg12388916692.png,Corrosionstain,166x92
BiNet_Dataset/train/Corrosionstain/MS0227201710261361.jpg976315321217.png,Corrosionstain,321x217
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217935v1.jpeg174455124121.png,Corrosionstain,124x121
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.8_0.5_1.0_0.84_3217944v0.jpeg1359144199199.png,Corrosionstain,199x199
BiNet_Dataset/train/Corrosionstain/VA0284201706271437.jpg839644272380.png,Corrosionstain,272x380
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217581v0.jpeg205341316301.png,Corrosionstain,316x301
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217865v1.jpeg5116186795.png,Corrosionstain,67x95
BiNet_Dataset/train/Corrosionstain/VA_3.0_1.0_1.0_3.0_9.0_3217718v0.jpeg4033772848.png,Corrosionstain,28x48
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.42_3217673v0.jpeg9511220378299.png,Corrosionstain,378x299
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217859v0.jpeg5703976065.png,Corrosionstain,60x65
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217606v0.jpeg395613140132.png,Corrosionstain,140x132
BiNet_Dataset/train/Corrosionstain/VA_3.0_1.0_1.0_1.0_3.0_3217721v3.jpeg263386125136.png,Corrosionstain,125x136
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217674v4.jpeg7401021180153.png,Corrosionstain,180x153
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.8_1.0_0.67_3217740v1.jpeg1473949100108.png,Corrosionstain,100x108
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.8_1.0_1.44_3217647v2.jpeg635101390208.png,Corrosionstain,90x208
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217710v0.jpeg5524114077.png,Corrosionstain,40x77
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.42_3217987v0.jpeg3813936484.png,Corrosionstain,64x84
BiNet_Dataset/train/Corrosionstain/VA_3.0_1.0_0.5_1.0_1.05_3217594v0.jpeg939962234238.png,Corrosionstain,234x238
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.42_3217992v0.jpeg1143586101108.png,Corrosionstain,101x108
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217939v0.jpeg426422132233.png,Corrosionstain,132x233
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217920v0.jpeg162625971118.png,Corrosionstain,71x118
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217935v1.jpeg991468160186.png,Corrosionstain,160x186
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217576v0.jpeg788788152150.png,Corrosionstain,152x150
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217950v2.jpeg15016266153.png,Corrosionstain,266x153
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.42_3217988v0.jpeg66261816191.png,Corrosionstain,161x91
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217415v1.jpeg1122845154.png,Corrosionstain,51x54
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.42_3217998v0.jpeg99615326251.png,Corrosionstain,326x251
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.8_1.0_0.67_3217740v1.jpeg118426810896.png,Corrosionstain,108x96
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217938v1.jpeg934379156147.png,Corrosionstain,156x147
BiNet_Dataset/train/Corrosionstain/VA0049201710281374.jpg781782276171.png,Corrosionstain,276x171
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217686v1.jpeg97525249169.png,Corrosionstain,249x169
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.8_0.5_1.0_1.2_3217858v0.jpeg243637181105.png,Corrosionstain,181x105
BiNet_Dataset/train/Corrosionstain/VA_3.0_1.0_0.8_3.0_7.2_3217461v1.jpeg549304173144.png,Corrosionstain,173x144
BiNet_Dataset/train/Corrosionstain/MS0188201711091418.jpg664986163197.png,Corrosionstain,163x197
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217607v0.jpeg3771112799.png,Corrosionstain,127x99
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.42_3217987v1.jpeg717467247121.png,Corrosionstain,247x121
BiNet_Dataset/train/Corrosionstain/VA_3.0_1.0_0.5_1.0_1.5_21442472v1.jpeg334554460154.png,Corrosionstain,460x154
BiNet_Dataset/train/Corrosionstain/VA0235201710121483.jpg571702190417.png,Corrosionstain,190x417
BiNet_Dataset/train/Corrosionstain/VA_3.0_1.0_1.0_1.0_2.1_3217464v0.jpeg43649666678.png,Corrosionstain,666x78
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217710v0.jpeg39169106122.png,Corrosionstain,106x122
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217421v0.jpeg708251181273.png,Corrosionstain,181x273
BiNet_Dataset/train/Corrosionstain/VA0235201710121441.jpg51738225108.png,Corrosionstain,225x108
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217674v1.jpeg216407471628.png,Corrosionstain,471x628
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217674v3.jpeg13936379237.png,Corrosionstain,379x237
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217940v2.jpeg91312712072.png,Corrosionstain,120x72
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3218012v0.jpeg7696337457.png,Corrosionstain,74x57
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217710v0.jpeg31616312089.png,Corrosionstain,120x89
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.8_0.5_1.0_0.84_3217944v2.jpeg36724645401.png,Corrosionstain,645x401
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217939v0.jpeg463560446626.png,Corrosionstain,446x626
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.8_0.5_1.0_1.2_3217786v0.jpeg1119995464236.png,Corrosionstain,464x236
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.8_1.0_1.44_3217848v2.jpeg55379612069.png,Corrosionstain,120x69
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.8_1.0_1.44_3217848v3.jpeg589750132111.png,Corrosionstain,132x111
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217654v0.jpeg173210736855.png,Corrosionstain,68x55
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217945v1.jpeg54571416896.png,Corrosionstain,168x96
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3218009v3.jpeg138682813573.png,Corrosionstain,135x73
BiNet_Dataset/train/Corrosionstain/VA0187201610121415.jpg994360216155.png,Corrosionstain,216x155
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.42_3218006v0.jpeg10171104199125.png,Corrosionstain,199x125
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217674v4.jpeg1106520172128.png,Corrosionstain,172x128
BiNet_Dataset/train/Corrosionstain/VA0284201706271302.jpg50671169145.png,Corrosionstain,169x145
BiNet_Dataset/train/Corrosionstain/VA0235201710121441.jpg1003533149127.png,Corrosionstain,149x127
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.8_1.0_0.67_3217740v1.jpeg7766304264.png,Corrosionstain,42x64
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.63_3217943v1.jpeg1127732133111.png,Corrosionstain,133x111
BiNet_Dataset/train/Corrosionstain/MS0178201710181443.jpg514710215118.png,Corrosionstain,215x118
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217674v3.jpeg158187119172.png,Corrosionstain,191x72
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217950v2.jpeg87873431177.png,Corrosionstain,431x177
BiNet_Dataset/train/Corrosionstain/VA0235201710121353.jpg8691038361207.png,Corrosionstain,361x207
BiNet_Dataset/train/Corrosionstain/VA_3.0_1.0_0.8_1.0_1.68_3217709v0.jpeg4433223451.png,Corrosionstain,34x51
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217691v0.jpeg1048352206138.png,Corrosionstain,206x138
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217827v1.jpeg665362127110.png,Corrosionstain,127x110
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.42_3217987v1.jpeg45395137198.png,Corrosionstain,137x198
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_3.0_2.7_21442442v1.jpeg614386111382.png,Corrosionstain,111x382
BiNet_Dataset/train/Corrosionstain/VA0235201710121353.jpg121971185137.png,Corrosionstain,185x137
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217720v0.jpeg68793139129.png,Corrosionstain,139x129
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217720v0.jpeg158410158475.png,Corrosionstain,84x75
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3218005v3.jpeg1056928181150.png,Corrosionstain,181x150
BiNet_Dataset/train/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217917v0.jpeg24460553163.png,Corrosionstain,53x163
